istaigos_kodas;gydytojo_ID;iraso_sukurimo_data;apylinkes_tipas;etatinis_darbo_kruvis
124246043;12273;2021-07-15 03:00;4;1.000
124246043;19206;2021-07-15 03:00;1;1.000
124246043;19214;2021-07-15 03:00;4;1.000
124246043;19216;2021-07-15 03:00;4;1.300
124246043;19226;2021-07-15 03:00;2;1.050
124246043;19248;2021-07-15 03:00;1;1.250
124246043;21184;2021-07-15 03:00;4;1.000
124246043;22290;2021-07-15 03:00;4;1.000
124246043;23674;2021-07-15 03:00;4;1.000
124246043;24988;2021-07-15 03:00;4;1.000
124246043;25347;2021-07-15 03:00;4;1.300
124246043;26275;2021-07-15 03:00;4;1.000
124246043;28074;2021-07-15 03:00;4;1.000
124246043;30638;2021-07-15 03:00;1;1.000
124246043;30675;2021-07-15 03:00;4;1.000
124246043;31437;2021-07-15 03:00;4;1.000
124246043;32457;2021-07-15 03:00;4;1.000
